         k_x          k_y          k_z           r_b1         r_b2         r_b3     flat index
  0.00000000   0.00000000   0.00000000     0.00000000   0.00000000   0.00000000     0.00000000
  0.00292477   0.00506584   0.00000000     0.00330033   0.00330033   0.00000000     0.00584953
  0.00584953   0.01013168   0.00000000     0.00660066   0.00660066   0.00000000     0.01169906
  0.00877430   0.01519753   0.00000000     0.00990099   0.00990099   0.00000000     0.01754859
  0.01169906   0.02026337   0.00000000     0.01320132   0.01320132   0.00000000     0.02339812
  0.01462383   0.02532921   0.00000000     0.01650165   0.01650165   0.00000000     0.02924765
  0.01754859   0.03039505   0.00000000     0.01980198   0.01980198   0.00000000     0.03509718
  0.02047336   0.03546089   0.00000000     0.02310231   0.02310231   0.00000000     0.04094671
  0.02339812   0.04052674   0.00000000     0.02640264   0.02640264   0.00000000     0.04679624
  0.02632289   0.04559258   0.00000000     0.02970297   0.02970297   0.00000000     0.05264577
  0.02924765   0.05065842   0.00000000     0.03300330   0.03300330   0.00000000     0.05849530
  0.03217242   0.05572426   0.00000000     0.03630363   0.03630363   0.00000000     0.06434483
  0.03509718   0.06079010   0.00000000     0.03960396   0.03960396   0.00000000     0.07019436
  0.03802195   0.06585594   0.00000000     0.04290429   0.04290429   0.00000000     0.07604389
  0.04094671   0.07092179   0.00000000     0.04620462   0.04620462   0.00000000     0.08189343
  0.04387148   0.07598763   0.00000000     0.04950495   0.04950495   0.00000000     0.08774296
  0.04679624   0.08105347   0.00000000     0.05280528   0.05280528   0.00000000     0.09359249
  0.04972101   0.08611931   0.00000000     0.05610561   0.05610561   0.00000000     0.09944202
  0.05264577   0.09118515   0.00000000     0.05940594   0.05940594   0.00000000     0.10529155
  0.05557054   0.09625100   0.00000000     0.06270627   0.06270627   0.00000000     0.11114108
  0.05849530   0.10131684   0.00000000     0.06600660   0.06600660   0.00000000     0.11699061
  0.06142007   0.10638268   0.00000000     0.06930693   0.06930693   0.00000000     0.12284014
  0.06434483   0.11144852   0.00000000     0.07260726   0.07260726   0.00000000     0.12868967
  0.06726960   0.11651436   0.00000000     0.07590759   0.07590759   0.00000000     0.13453920
  0.07019436   0.12158021   0.00000000     0.07920792   0.07920792   0.00000000     0.14038873
  0.07311913   0.12664605   0.00000000     0.08250825   0.08250825   0.00000000     0.14623826
  0.07604389   0.13171189   0.00000000     0.08580858   0.08580858   0.00000000     0.15208779
  0.07896866   0.13677773   0.00000000     0.08910891   0.08910891   0.00000000     0.15793732
  0.08189343   0.14184357   0.00000000     0.09240924   0.09240924   0.00000000     0.16378685
  0.08481819   0.14690942   0.00000000     0.09570957   0.09570957   0.00000000     0.16963638
  0.08774296   0.15197526   0.00000000     0.09900990   0.09900990   0.00000000     0.17548591
  0.09066772   0.15704110   0.00000000     0.10231023   0.10231023   0.00000000     0.18133544
  0.09359249   0.16210694   0.00000000     0.10561056   0.10561056   0.00000000     0.18718497
  0.09651725   0.16717278   0.00000000     0.10891089   0.10891089   0.00000000     0.19303450
  0.09944202   0.17223862   0.00000000     0.11221122   0.11221122   0.00000000     0.19888403
  0.10236678   0.17730447   0.00000000     0.11551155   0.11551155   0.00000000     0.20473356
